ID,BIBID,ABST
463,Liao2017, The hesitant fuzzy linguistic term set (HFLTS) has gained great success as it can be used to represent several linguistic terms or comparative linguistic expressions together with some context-free grammars. This new approach has enabled the analysis and computing of linguistic expressions with uncertainties and opened the door for the possibility to develop more comprehensive and powerful decision theories and methods based on linguistic knowledge. Lots of new approaches and proposals for decision-making problems have been proposed to overcome the limitations of previous linguistic decision-making approaches. Now and in the future decision-making methodologies and algorithms with hesitant fuzzy linguistic models would be a quite promising research line representing a high-quality breakthrough in this topic. To facilitate the study on HFLTS theory this paper makes a state-of-the-art survey on HFLTSs based on the 134 selected papers from Web of Sciences published from January 2012 to October 2017. We justify the motivation definitions operations comparison methods and measures of HFLTSs. We also summarize the different extensions of HFLTSs. The studies on multiple criteria decision making (MCDM) with HFLTSs in terms of aggregation operators and MCDM methods are clearly reviewed. We also conduce some overviews on decision making with hesitant fuzzy linguistic preference relations. The applications research challenges and future directions are also given.
464,Vlot2017, Selectivity is an important attribute of effective and safe drugs and prediction of in vivo target and tissue selectivity would likely improve drug development success rates. However a lack of understanding of the underlying (pharmacological) mechanisms and availability of directly applicable predictive methods complicates the prediction of selectivity. We explore the value of combining physiologically based pharmacokinetic (PBPK) modeling with quantitative structure-activity relationship (QSAR) modeling to predict the influence of the target dissociation constant (KD) and the target dissociation rate constant on target and tissue selectivity. The KD values of CB1 ligands in the ChEMBL database are predicted by QSAR random forest (RF) modeling for the CB1 receptor and known off-targets (TRPV1 mGlu5 5-HT1a). Of these CB1 ligands rimonabant CP-55940 and Δ8-tetrahydrocanabinol one of the active ingredients of cannabis were selected for simulations of target occupancy for CB1 TRPV1 mGlu5 and 5-HT1a in three brain regions to illustrate the principles of the combined PBPK-QSAR modeling. Our combined PBPK and target binding modeling demonstrated that the optimal values of the KD and koff for target and tissue selectivity were dependent on target concentration and tissue distribution kinetics. Interestingly if the target concentration is high and the perfusion of the target site is low the optimal KD value is often not the lowest KD value suggesting that optimization towards high drug-target affinity can decrease the benefit-risk ratio. The presented integrative structure-pharmacokinetic-pharmacodynamic modeling provides an improved understanding of tissue and target selectivity.
465,Lee2017, Reliable electroencephalography (EEG) signatures of transitions between consciousness and unconsciousness under anaesthesia have not yet been identified. Herein we examined network changes using graph theoretical analysis of high-density EEG during patient-titrated propofol-induced sedation. Responsiveness was used as a surrogate for consciousness. We divided the data into five states: baseline transition into unresponsiveness unresponsiveness transition into responsiveness and recovery. Power spectral analysis showed that delta power increased from responsiveness to unresponsiveness. In unresponsiveness delta waves propagated from frontal to parietal regions as a traveling wave. Local increases in delta connectivity were evident in parietal but not frontal regions. Graph theory analysis showed that increased local efficiency could differentiate the levels of responsiveness. Interestingly during transitions of responsive states increased beta connectivity was noted relative to consciousness and unconsciousness again with increased local efficiency. Abrupt network changes are evident in the transitions in responsiveness with increased beta band power/connectivity marking transitions between responsive states while the delta power/connectivity changes were consistent with the fading of consciousness using its surrogate responsiveness. These results provide novel insights into the neural correlates of these behavioural transitions and EEG signatures for monitoring the levels of consciousness under sedation.
466,Powles2017, Data-driven tools and techniques particularly machine learning methods that underpin artificial intelligence offer promise in improving healthcare systems and services. One of the companies aspiring to pioneer these advances is DeepMind Technologies Limited a wholly-owned subsidiary of the Google conglomerate Alphabet Inc. In 2016 DeepMind announced its first major health project: a collaboration with the Royal Free London NHS Foundation Trust to assist in the management of acute kidney injury. Initially received with great enthusiasm the collaboration has suffered from a lack of clarity and openness with issues of privacy and power emerging as potent challenges as the project has unfolded. Taking the DeepMind-Royal Free case study as its pivot this article draws a number of lessons on the transfer of population-derived datasets to large private prospectors identifying critical questions for policy-makers industry and individuals as healthcare moves into an algorithmic age.
467,Vayena2017, Empirical evidence suggests that while people hold the capacity to control their data in high regard they increasingly experience a loss of control over their data in the online world. The capacity to exert control over the generation and flow of personal information is a fundamental premise to important values such as autonomy privacy and trust. In healthcare and clinical research this capacity is generally achieved indirectly by agreeing to specific conditions of informational exposure. Such conditions can be openly stated in informed consent documents or be implicit in the norms of confidentiality that govern the relationships of patients and healthcare professionals. However with medicine becoming a data-intense enterprise informed consent and medical confidentiality as mechanisms of control are put under pressure. In this paper we explore emerging models of informational control in data-intense healthcare and clinical research which can compensate for the limitations of currently available instruments. More specifically we discuss three approaches that hold promise in increasing individual control: the emergence of data portability rights as means to control data access new mechanisms of informed consent as tools to control data use and finally new participatory governance schemes that allow individuals to control their data through direct involvement in data governance. We conclude by suggesting that despite the impression that biomedical big data diminish individual control the synergistic effect of new data management models can in fact improve it.
468,Sun2017, It is highly likely that to achieve full human machine symbiosis truly intelligent cognitive systems human-like (or even beyond) may have to be developed first. Such systems should not only be capable of performing human-like thinking reasoning and problem solving but also be capable of displaying human-like motivation emotion and personality. In this opinion article I will argue that such systems are indeed possible and needed to achieve true and full symbiosis with humans. A computational cognitive architecture (named Clarion) is used in this article to illustrate in a preliminary way what can be achieved in this regard. It is shown that Clarion involves complex structures representations and mechanisms and is capable of capturing human cognitive performance (including skills reasoning memory and so on) as well as human motivation emotion personality and other relevant aspects. It is further argued that the cognitive architecture can enable and facilitate true human machine symbiosis.
469,Lauschke2017, Much of the inter-individual variability in drug efficacy and risk of adverse reactions is due to polymorphisms in genes encoding proteins involved in drug pharmacokinetics and pharmacodynamics or immunological responses. Pharmacogenetic research has identified a multitude of gene-drug response associations which have resulted in genetically guided treatment and dosing decisions to yield a higher success rate of pharmacological treatment. The rapid technological developments for genetic analyses reveal that the number of genetic variants with importance for drug action is much higher than previously thought and that a true personalized prediction of drug response requires attention to millions of rare mutations. Here we review the evolutionary background of genetic polymorphisms in drug-metabolizing enzymes provide some important examples of current use of pharmacogenomic biomarkers and give an update of germline and somatic genome biomarkers that are in use in drug development and clinical practice. We also discuss the current technology development with emphasis on complex genetic loci review current initiatives for validation of pharmacogenomic biomarkers and present scenarios for the future taking rare genetic variants into account for a true personalized genetically guided drug prescription. We conclude that pharmacogenomic information for patient stratification is of value to tailor optimized treatment regimens particularly in oncology. However the routine use of pharmacogenomic biomarkers in clinical practice in other therapeutic areas is currently sparse and the prospects of its future implementation are being scrutinized by different international consortia.
470,Wang2017a, Prostate cancer (PCa) is a major cause of death since ancient time documented in Egyptian Ptolemaic mummy imaging. PCa detection is critical to personalized medicine and varies considerably under an MRI scan. 172 patients with 2602 morphologic images (axial 2D T2-weighted imaging) of the prostate were obtained. A deep learning with deep convolutional neural network (DCNN) and a non-deep learning with SIFT image feature and bag-of-word (BoW) a representative method for image recognition and analysis were used to distinguish pathologically confirmed PCa patients from prostate benign conditions (BCs) patients with prostatitis or prostate benign hyperplasia (BPH). In fully automated detection of PCa patients deep learning had a statistically higher area under the receiver operating characteristics curve (AUC) than non-deep learning (P 0.0007 < 0.001). The AUCs were 0.84 (95% CI 0.78 0.89) for deep learning method and 0.70 (95% CI 0.63 0.77) for non-deep learning method, respectively. Our results suggest that deep learning with DCNN is superior to non-deep learning with SIFT image feature and BoW model for fully automated PCa patients differentiation from prostate BCs patients. Our deep learning method is extensible to image modalities such as MR imaging, CT and PET of other organs.
471,Reinkensmeyer2017, Over 50 million United States citizens (1 in 6 people in the US) have a developmental acquired or degenerative disability. The average US citizen can expect to live 20% of his or her life with a disability. Rehabilitation technologies play a major role in improving the quality of life for people with a disability yet widespread and highly challenging needs remain. Within the US a major effort aimed at the creation and evaluation of rehabilitation technology has been the Rehabilitation Engineering Research Centers (RERCs) sponsored by the National Institute on Disability Independent Living and Rehabilitation Research. As envisioned at their conception by a panel of the National Academy of Science in 1970 these centers were intended to take a “total approach to rehabilitation” combining medicine engineering and related science to improve the quality of life of individuals with a disability. Here we review the scope achievements and ongoing projects of an unbiased sample of 19 currently active or recently terminated RERCs. Specifically for each center we briefly explain the needs it targets summarize key historical advances identify emerging innovations and consider future directions. Our assessment from this review is that the RERC program indeed involves a multidisciplinary approach with 36 professional fields involved although 70% of research and development staff are in engineering fields 23% in clinical fields and only 7% in basic science fields; significantly 11% of the professional staff have a disability related to their research. We observe that the RERC program has substantially diversified the scope of its work since the 1970’s addressing more types of disabilities using more technologies and in particular often now focusing on information technologies. RERC work also now often views users as integrated into an interdependent society through technologies that both people with and without disabilities co-use (such as the internet wireless communication and architecture). In addition RERC research has evolved to view users as able at improving outcomes through learning exercise and plasticity (rather than being static) which can be optimally timed. We provide examples of rehabilitation technology innovation produced by the RERCs that illustrate this increasingly diversifying scope and evolving perspective. We conclude by discussing growth opportunities and possible future directions of the RERC program.
472,Liang2017, Software multimedia anomaly detection model based on neural network and optimization driven support vector machine is discussed in this paper. For multimedia information most traditional information security technology has its limitations. For example the limitation of the encryption technology is that on the one hand the encrypted files resulting from the incomprehension of attributes interfere with the transfer of multimedia information. On the other hand the encrypted multimedia information is likely to attract the attacker’s curiosity and attention and is likely to be cracked and once it is cracked the system loses control of the information. To deal with these challenges this study integrates soft computing techniques to finalize the enhanced multimedia anomaly detection model. With respect to the neural network a random system with random factors is referred to as a random system. These practical systems are generally described and modeled by stochastic differential equations. In this study we combined the double support vector machine and decision tree support vector machine to construct a new double support vector machine decision tree classifier. Kernel function and convex optimization were integrated to guarantee an optimal solution. Experimental results demonstrated the robustness of the model compared with other recent techniques.
473,Fan2017, During cellular reprogramming the mesenchymal-to-epithelial transition is accompanied by changes in morphology which occur prior to iPSC colony formation. The current approach for detecting morphological changes associated with reprogramming purely relies on human experiences which involve intensive amounts of upfront training human error with limited quality control and batch-to-batch variations. Here we report a time-lapse-based bright-field imaging analysis system that allows us to implement a label-free non-invasive approach to measure morphological dynamics. To automatically analyse and determine iPSC colony formation a machine learning-based classification segmentation and statistical modelling system was developed to guide colony selection. The system can detect and monitor the earliest cellular texture changes after the induction of reprogramming in human somatic cells on day 7 from the 20 24 day process. Moreover after determining the reprogramming process and iPSC colony formation quantitatively a mathematical model was developed to statistically predict the best iPSC selection phase independent of any other resources. All the computational detection and prediction experiments were evaluated using a validation dataset and biological verification was performed. These algorithm-detected colonies show no significant differences (Pearson Coefficient) in terms of their biological features compared to the manually processed colonies using standard molecular approaches.
474,Lawn2017, BackgroundE-learning involves delivery of education through Information and Communication Technology (ITC) using a wide variety of instructional designs including synchronous and asynchronous formats. It can be as effective as face-to-face training for many aspects of health professional training. There are however particular practices and skills needed in providing patient self-management support such as partnering with patients in goal-setting which may challenge conventional practice norms. E-learning for the delivery of self-management support (SMS) continuing education to existing health professionals is a relatively new and growing area with limited studies identifying features associated with best acquisition of skills in self-management support.MethodsAn integrative literature review examined what is known about e-learning for self-management support. This review included both qualitative and quantitative studies that focused on e-learning provided to existing health professionals for their continuing professional development. Papers were limited to those published in English between 2006 and 2016. Content analysis was used to organize and focus and describe the findings.ResultsThe search returned 1505 articles with most subsequently excluded based on their title or abstract. Fifty-two full text articles were obtained and checked with 42 excluded because they did not meet the full criteria. Ten peer-reviewed articles were included in this review. Seven main themes emerged from the content analysis: participants and professions; time; package content; guiding theoretical framework; outcome measures; learning features or formats; and learning barriers. These themes revealed substantial heterogeneity in instructional design and other elements of e-learning applied to SMS indicating that there is still much to understand about how best to deliver e-learning for SMS skills development.ConclusionsFew e-learning approaches meet the need for high levels of interactivity reflection practice and application to practice for health professionals learning to deliver effective SMS. Findings suggest that the context of SMS for patients with chronic condition matters to how health professional training is delivered to ensure partnership and person-centred care. Further creative approaches and their rigorous evaluation are needed to deliver completely online learning in this space. Blended learning that combines e-learning and face-to-face methods is suggested to support SMS skills development for health professionals.
475,Myers2017, The accurate assessment of a patient’s risk of adverse events remains a mainstay of clinical care. Commonly used risk metrics have been based on logistic regression models that incorporate aspects of the medical history presenting signs and symptoms and lab values. More sophisticated methods such as Artificial Neural Networks (ANN) form an attractive platform to build risk metrics because they can easily incorporate disparate pieces of data yielding classifiers with improved performance. Using two cohorts consisting of patients admitted with a non-ST-segment elevation acute coronary syndrome we constructed an ANN that identifies patients at high risk of cardiovascular death (CVD). The ANN was trained and tested using patient subsets derived from a cohort containing 4395 patients (Area Under the Curve (AUC) 0.743) and validated on an independent holdout set containing 861 patients (AUC 0.767). The ANN 1-year Hazard Ratio for CVD was 3.72 (95% confidence interval 1.04 14.3) after adjusting for the TIMI Risk Score left ventricular ejection fraction and B-type natriuretic peptide. A unique feature of our approach is that it captures small changes in the ST segment over time that cannot be detected by visual inspection. These findings highlight the important role that ANNs can play in risk stratification.
476,Schindler2017, Computer-based technology has infiltrated many aspects of life and industry yet there is little understanding of how it can be used to promote student engagement a concept receiving strong attention in higher education due to its association with a number of positive academic outcomes. The purpose of this article is to present a critical review of the literature from the past 5 years related to how web-conferencing software blogs wikis social networking sites (Facebook and Twitter) and digital games influence student engagement. We prefaced the findings with a substantive overview of student engagement definitions and indicators which revealed three types of engagement (behavioral emotional and cognitive) that informed how we classified articles. Our findings suggest that digital games provide the most far-reaching influence across different types of student engagement followed by web-conferencing and Facebook. Findings regarding wikis blogs and Twitter are less conclusive and significantly limited in number of studies conducted within the past 5 years. Overall the findings provide preliminary support that computer-based technology influences student engagement however additional research is needed to confirm and build on these findings. We conclude the article by providing a list of recommendations for practice with the intent of increasing understanding of how computer-based technology may be purposefully implemented to achieve the greatest gains in student engagement.
477,Sohn2017, Complicated structures consisting of multi-layers with a multi-modal array of device components i.e. so-called patterned multi-layers and their corresponding circuit designs for signal readout and addressing are used to achieve a macroscale electronic skin (e-skin). In contrast to this common approach we realized an extremely simple macroscale e-skin only by employing a single-layered piezoresistive MWCNT-PDMS composite film with neither nano- micro- nor macro-patterns. It is the deep machine learning that made it possible to let such a simple bulky material play the role of a smart sensory device. A deep neural network (DNN) enabled us to process electrical resistance change induced by applied pressure and thereby to instantaneously evaluate the pressure level and the exact position under pressure. The great potential of this revolutionary concept for the attainment of pressure-distribution sensing on a macroscale area could expand its use to not only e-skin applications but to other high-end applications such as touch panels portable flexible keyboard sign language interpreting globes safety diagnosis of social infrastructures and the diagnosis of motility and peristalsis disorders in the gastrointestinal tract.
478,Shin2017, Precision oncology is described as the matching of the most accurate and effective treatments with the individual cancer patient. Identification of important gene mutations such as BRCA1/2 that drive carcinogenesis helped pave the way for precision diagnosis in cancer. Oncoproteins and their signaling pathways have been extensively studied leading to the development of target-based precision therapies against several types of cancers. Although many challenges exist that could hinder the success of precision oncology cutting-edge tools for precision diagnosis and precision therapy will assist in overcoming many of these difficulties. Based on the continued rapid progression of genomic analysis drug development and clinical trial design precision oncology will ultimately become the standard of care in cancer therapeutics.
479,Ranschaert2017, Good communication is essential in medicine and particularly in radiology. Radiology is a supporting specialty with a mainly consultative function. The service rendered by radiologists can be roughly divided into two distinct but inseparable parts: analyzing the images on the one hand and reporting the findings on the other. The radiology report is the core of the communication by the radiologist (Flanders and Lakhani 2012) and in a way our product the end stage of the workflow.
480,Heinzmann2017, Complex molecular and metabolic phenotypes depict cancers as a constellation of different diseases with common themes. Precision imaging of such phenotypes requires flexible and tunable modalities capable of identifying phenotypic fingerprints by using a restricted number of parameters while ensuring sensitivity to dynamic biological regulation. Common phenotypes can be detected by in vivo imaging technologies and effectively define the emerging standards for disease classification and patient stratification in radiology. However for the imaging data to accurately represent a complex fingerprint the individual imaging parameters need to be measured and analysed in relation to their wider spatial and molecular context. In this respect targeted palettes of molecular imaging probes facilitate the detection of heterogeneity in oncogene-driven alterations and their response to treatment and lead to the expansion of rational-design elements for the combination of imaging experiments. In this Review we evaluate criteria for conducting multiplexed imaging and discuss its opportunities for improving patient diagnosis and the monitoring of therapy.This Review discusses imaging approaches that benefit from the combination of signals and modalities to enhance patient diagnosis and the monitoring of therapy.
481,Ishii2017, This paper undertakes a comparative legal study to analyze the challenges of privacy and personal data protection posed by Artificial Intelligence (“AI”) embedded in Robots and to offer policy suggestions. After identifying the benefits from various AI usages and the risks posed by AI-related technologies I then analyze legal frameworks and relevant discussions in the EU USA Canada and Japan and further consider the efforts of Privacy by Design (“PbD”) originating in Ontario Canada. While various AI usages provide great convenience many issues including profiling discriminatory decisions lack of transparency and impeding consent have emerged. The unpredictability arising from the AI machine learning function poses further difficulties which have only been partially addressed by legal frameworks in the aforementioned jurisdictions. However analyzing the relevant discussions yielded several suggestions. The first priority is adopting PbD as the most flexible soft-legal and preferable approach toward AI-oriented issues. Implementing PbD will protect individual privacy and personal data without specific efforts and achieve both the development of AI and the advancement of privacy and personal data protection. Technical measures that can adapt to an individual’s dynamic choices according to the “context” should be further developed. Furthermore alternative technical measures including those to solve the “algorithmic black box” or achieve differential privacy warrant thorough examination. If AI surpasses human intelligence a terminating function such as a “kill switch” will be the last resort to preserve individual choice. Despite numerous difficulties we must prepare for the coming AI-prevalent society by taking a flexible approach.
482,Radiya-Dixit2017, Misclassification of breast lesions can result in either cancer progression or unnecessary chemotherapy. Automated classification tools are seen as promising second opinion providers in reducing such errors. We have developed predictive algorithms that automate the categorization of breast lesions as either benign usual ductal hyperplasia (UDH) or malignant ductal carcinoma in situ (DCIS). From diagnosed breast biopsy images from two hospitals we obtained 392 biomarkers using Dong et al.’s (2014) computational tools for nuclei identification and feature extraction. We implemented six machine learning models and enhanced them by reducing prediction variance extracting active features and combining multiple algorithms. We used the area under the curve (AUC) of the receiver operating characteristic (ROC) curve for performance evaluation. Our top-performing model a Combined model with Active Feature Extraction (CAFE) consisting of two logistic regression algorithms obtained an AUC of 0.918 when trained on data from one hospital and tested on samples of the other a statistically significant improvement over Dong et al.’s AUC of 0.858. Pathologists can substantially improve their diagnoses by using it as an unbiased validator. In the future our work can also serve as a valuable methodology for differentiating between low-grade and high-grade DCIS.
483,Cha2017, Cross-sectional X-ray imaging has become the standard for staging most solid organ malignancies. However for some malignancies such as urinary bladder cancer the ability to accurately assess local extent of the disease and understand response to systemic chemotherapy is limited with current imaging approaches. In this study we explored the feasibility that radiomics-based predictive models using pre- and post-treatment computed tomography (CT) images might be able to distinguish between bladder cancers with and without complete chemotherapy responses. We assessed three unique radiomics-based predictive models each of which employed different fundamental design principles ranging from a pattern recognition method via deep-learning convolution neural network (DL-CNN) to a more deterministic radiomics feature-based approach and then a bridging method between the two utilizing a system which extracts radiomics features from the image patterns. Our study indicates that the computerized assessment using radiomics information from the pre- and post-treatment CT of bladder cancer patients has the potential to assist in assessment of treatment response.
484,Lepri2017, The combination of increased availability of large amounts of fine-grained human behavioral data and advances in machine learning is presiding over a growing reliance on algorithms to address complex societal problems. Algorithmic decision-making processes might lead to more objective and thus potentially fairer decisions than those made by humans who may be influenced by greed prejudice fatigue or hunger. However algorithmic decision-making has been criticized for its potential to enhance discrimination information and power asymmetry and opacity. In this paper we provide an overview of available technical solutions to enhance fairness accountability and transparency in algorithmic decision-making. We also highlight the criticality and urgency to engage multi-disciplinary teams of researchers practitioners policy-makers and citizens to co-develop deploy and evaluate in the real-world algorithmic decision-making processes designed to maximize fairness and transparency. In doing so we describe the Open Algortihms (OPAL) project as a step towards realizing the vision of a world where data and algorithms are used as lenses and levers in support of democracy and development.
485,Waldstein2017, Vitreomacular adhesion (VMA) represents a prognostic biomarker in the management of exudative macular disease using anti-vascular endothelial growth factor (VEGF) agents. However manual evaluation of VMA in 3D optical coherence tomography (OCT) is laborious and data on its impact on therapy of retinal vein occlusion (RVO) are limited. The aim of this study was to (1) develop a fully automated segmentation algorithm for the posterior vitreous boundary and (2) to study the effect of VMA on anti-VEGF therapy for RVO. A combined machine learning/graph cut segmentation algorithm for the posterior vitreous boundary was designed and evaluated. 391 patients with central/branch RVO under standardized ranibizumab treatment for 6/12 months were included in a systematic post-hoc analysis. VMA (70%) was automatically differentiated from non-VMA (30%) using the developed method combined with unsupervised clustering. In this proof-of-principle study eyes with VMA showed larger BCVA gains than non-VMA eyes and received a similar number of retreatments. However, this association diminished after adjustment for baseline BCVA, also when using more fine-grained VMA classes. Our study illustrates that machine learning represents a promising path to assess imaging biomarkers in OCT.
486,Tao2017, In order to effectively deal with the APT and 0 day attacks a new classified protection model of information system is proposed by combining the big data analysis and the threat intelligence technologies. And immune factors network algorithm is proposed based on the classified model. So that the useful information can be actively accessed and extracted from a large number of security information. The consequences of the threat information and the effective measures can be timely analysis and the threat intelligence of classified protection can be timely shared. So the emergency response bulletins and early warning can be timely done.
487,Kim2017, Adoption of Electronic Health Record (EHR) systems has led to collection of massive healthcare data which creates oppor- tunities and challenges to study them. Computational phenotyping offers a promising way to convert the sparse and complex data into meaningful concepts that are interpretable to healthcare givers to make use of them. We propose a novel su- pervised nonnegative tensor factorization methodology that derives discriminative and distinct phenotypes. We represented co-occurrence of diagnoses and prescriptions in EHRs as a third-order tensor and decomposed it using the CP algorithm. We evaluated discriminative power of our models with an Intensive Care Unit database (MIMIC-III) and demonstrated superior performance than state-of-the-art ICU mortality calculators (e.g. APACHE II SAPS II). Example of the resulted phenotypes are sepsis with acute kidney injury cardiac surgery anemia respiratory failure heart failure cardiac arrest metastatic cancer (requiring ICU) end-stage dementia (requiring ICU and transitioned to comfort-care) intraabdominal conditions and alcohol abuse/withdrawal.
488,Tien2017, In an earlier paper (Tien 2015) the author defined the concept of a servgood which can be thought of as a physical good or product enveloped by a services-oriented layer that makes the good smarter or more adaptable and customizable for a particular use. Adding another layer of physical sensors could then enhance its smartness and intelligence especially if it were to be connected with each other or with other servgoods through the Internet of Things. Such sensed servgoods are becoming the products of the future. Indeed autonomous vehicles can be considered the exemplar servgoods of the future; it is about decision informatics and embraces the advanced technologies of sensing (i.e. Big Data) processing (i.e. real-time analytics) reacting (i.e. real-time decision-making) and learning (i.e. deep learning). Since autonomous vehicles constitute a huge quality-of-life disruption it is also critical to consider its policy impact on privacy and security regulations and standards and liability and insurance. Finally just as the Soviet Union inaugurated the space age on October 4 1957 with the launch of Sputnik the first man-made object to orbit the Earth the U. S. has inaugurated an age of automata or autonomous vehicles that can be considered to be the U. S. Sputnik of servgoods with the full support of the U. S. government the U. S. auto industry the U. S. electronic industry and the U.S. higher educational enterprise.
489,Bauder2017, From its infancy in the 1910s healthcare group insurance continues to increase creating a consistently rising burden on the government and taxpayers. The growing number of people enrolled in healthcare programs such as Medicare along with the enormous volume of money in the healthcare industry increases the appeal for and risk of fraudulent activities. One such fraud known as upcoding is a means by which a provider can obtain additional reimbursement by coding a certain provided service as a more expensive service than what was actually performed. With the proliferation of data mining techniques and the recent and continued availability of public healthcare data the application of these techniques towards fraud detection using this increasing cache of data has the potential to greatly reduce healthcare costs through a more robust detection of upcoding fraud. Presently there is a sizable body of healthcare fraud detection research available but upcoding fraud studies are limited. Audit data can be difficult to obtain limiting the usefulness of supervised learning; therefore other data mining techniques such as unsupervised learning must be explored using mostly unlabeled records in order to detect upcoding fraud. This paper is specific to reviewing upcoding fraud analysis and detection research providing an overview of healthcare upcoding and a review of the current data mining techniques used therein.
490,Zheng2017, The long-term goal of artificial intelligence (AI) is to make machines learn and think like human beings. Due to the high levels of uncertainty and vulnerability in human life and the open-ended nature of problems that humans are facing no matter how intelligent machines are they are unable to completely replace humans. Therefore it is necessary to introduce human cognitive capabilities or human-like cognitive models into AI systems to develop a new form of AI that is hybrid-augmented intelligence. This form of AI or machine intelligence is a feasible and important developing model. Hybrid-augmented intelligence can be divided into two basic models: one is human-in-the-loop augmented intelligence with human-computer collaboration and the other is cognitive computing based augmented intelligence in which a cognitive model is embedded in the machine learning system. This survey describes a basic framework for human-computer collaborative hybrid-augmented intelligence and the basic elements of hybrid-augmented intelligence based on cognitive computing. These elements include intuitive reasoning causal models evolution of memory and knowledge especially the role and basic principles of intuitive reasoning for complex problem solving and the cognitive learning framework for visual scene understanding based on memory and reasoning. Several typical applications of hybrid-augmented intelligence in related fields are given.
491,Kumar2017, Recently deep learning approaches have achieved more attention for recognition of species or individual animal using visual features. In this chapter the deep learning-based recognition system is proposed for identification of different cattle based on their primary muzzle point (nose pattern) image pattern characteristics to solve major problem of missed or swapped animal and false insurance claims. The major contributions of the research work are as follows: (1) preparation of muzzle point image database which are not publically available; (2) extraction of the salient set of texture features and representation of muzzle point image of cattle using the deep learning-based convolution neural network and deep belief neural network proposed approaches. The stacked denoising auto-encoder technique is applied to encode the extracted feature of muzzle point images; and (3) experimental results and analysis of proposed approach. Extensive experimental results illustrate that the proposed deep learning approach outperforms state-of-the-art methods for recognition of cattle on muzzle point image database. The efficacy of the proposed deep learning approach is computed under different identification settings. With multiple test galleries rank-1 identification accuracy of 98.99% is achieved.
492,Goh2015, This chapter examines the relationship between problems and learning in a problem-based learning (PBL) environment using the context of a case study of a polytechnic in Singapore. The authors detail how curriculum is problematised (into different types of problems) around a set of desired educational outcomes and explicate how problems are used for the purpose of triggering interest and engagement as well as promoting deep understanding guiding classroom facilitation and informing student assessment in the learning process. Empirical evidence of the effectiveness of problems in learning in three disciplines is shared with suggestions of how the use of problems in learning can be supported by academic policies and professional development for academic staff. An overarching theme of the chapter focuses on how PBL is a method for learning that facilitates deep learning and develops life skills such as collaboration sense-making and problem-solving capabilities for the work place.
493,Lance2015, Brain-computer interface (BCI) technologies or technologies that use online brain signal processing have a great promise to improve human interactions with computers their environment and even other humans. Despite this promise there are no current serious BCI technologies in widespread use due to the lack of robustness in BCI technologies. The key neural aspect of this lack of robustness is human variability which has two main components: (1) individual differences in neural signals and (2) intraindividual variability over time. In order to develop widespread BCI technologies it will be necessary to address this lack of robustness. However it is currently unknown how neural variability affects BCI performance. To accomplish these goals it is essential to obtain data from large numbers of individuals using BCI technologies over considerable lengths of time. One promising method for this is through the use of BCI technologies embedded into games with a purpose (GWAP). GWAP are a game-based form of crowdsourcing which players choose to play for enjoyment and during which the player performs key tasks which cannot be automated but that are required to solve research questions. By embedding BCI paradigms in GWAP and recording neural and behavioral data it should be possible to much more clearly understand the differences in neural signals between individuals and across different time scales enabling the development of novel and increasingly robust adaptive BCI algorithms.
494,Ip2015, Virtual Reality (VR) technologies bring new opportunities and challenges to teaching and learning. Virtual Reality Learning Environment (VRLE) a VR-based interactive environment incorporating instructional design for educational purposes nowadays draws great attention of interdisciplinary scholars. In this paper we first introduce the current status of VRLE-based research studies from various perspectives and then summarise the on-going challenges based on previous research studies and our own experience in this research area.
495,Bonissone2015, We describe the process of building computational intelligence (CIcomputationalintelligence (CI)) models for machine learning (MLmachinelearning (ML)) applications. We use offline metaheuristics to design the models’ run-time architectures and online metaheuristics to control/aggregate the object-level models (base models) in these architectures. CI techniques complement more traditional statistical techniques which are the core of ML for unsupervised and supervised learning. We analyze CI/ML industrial applications in the area of prognostics and health management (PHMprognostichealth management (PHM)) for industrial assets and describe two PHM case studies. In the first case we address anomaly detection for aircraft engines; in the second one we rank locomotives in a fleet according to their expected remaining useful life. Then we illustrate similar CIriskmanagementportfolio optimizationmodelensemble-enabled capabilities as they are applied to risk management for commercial and financial assets. In this context we describe three case studies in insurance underwriting mortgage collateral valuation and portfolio optimization. We explain the current trend favoring the use of model ensemble and fusion over individual models and emphasize the need for injecting diversity during the model generation phase. We present a model agnostic fusion mechanism which can be used with commoditized models obtained from crowdsourcing cloud-based evolution and other sources. Finally we explore research trends and future challenges/opportunities for ML techniques in the emerging context of big data and cloud computing.
